Energy_h	t01	t02	t03	t04	t05	t06	t07	t08	t09	t11	t12	t13	B0	B1	Num_spec_correction	Num_spec_unper	Num_spec_total
4.5796834874692885e-22	1.0854518055894988e-07	-3.682850891888768e-08	-8.432263836830311e-07	-3.809182659898877e-13	1.568344294289475e-11	7.38720734769517e-13	-1.0886209880883108e-12	6.862815996669087e-10	-2.57428559986889e-12	9.034672802702214e-07	-1.1773946081853726e-07	-2.112457986376304e-08	-7.708110521044782e-07	7.646032395879213e-07	-6.2078125165569066e-09	1.81662148129699e-05	1.8160007000453344e-05
4.619472223242262e-22	9.415699877677848e-08	-3.191773539375345e-08	-7.700496310849668e-07	-2.843669925010947e-13	1.3009096139183328e-11	5.792942124355153e-13	-8.544560536453421e-13	2.714214033720661e-10	-1.8032253076300193e-12	8.256176324403963e-07	-1.0213263077838127e-07	-1.5657323329685618e-08	-7.075282999565719e-07	7.078276783323294e-07	2.993783757574635e-10	1.6600827332794372e-05	1.660112671117013e-05
4.659260959015236e-22	8.244963972162784e-08	-2.7914528105512115e-08	-7.029552174243951e-07	-2.116050071971267e-13	1.077635611649265e-11	4.584250457304063e-13	-6.770126959871341e-13	-8.302230956406377e-11	-1.2164966479080998e-12	7.540884585497886e-07	-8.943366922214086e-08	-1.0799414863957249e-08	-6.484939984510324e-07	6.538553744636904e-07	5.361376012658012e-09	1.5162539376322155e-05	1.5167900752334814e-05
4.69904969478821e-22	7.300587794003931e-08	-2.4680110633180195e-08	-6.415354420512759e-07	-1.5711419093399186e-13	8.91604804755543e-12	3.667381077282411e-13	-5.424213433786976e-13	-2.7500191230532446e-10	-7.922535447341655e-13	6.884793914654494e-07	-7.919002027084503e-08	-6.5324861084834416e-09	-5.93476885659646e-07	6.02756885086121e-07	9.279999426474985e-09	1.3843298213940801e-05	1.3852578213367276e-05
4.738838430561184e-22	6.544848976375037e-08	-2.209125864490694e-08	-5.853907016343863e-07	-1.1652319835921319e-13	7.36889124718076e-12	2.9702996012495007e-13	-4.3999671130659725e-13	-2.9684612731835184e-10	-4.773048418697621e-13	6.283951853781047e-07	-7.099251514859252e-08	-2.816618632550249e-09	-5.423236845464057e-07	5.54586051596962e-07	1.2262367050556262e-08	1.2635154520746577e-05	1.2647416887797134e-05
4.778627166334157e-22	5.946139837694929e-08	-2.0040029395776617e-08	-5.34138221119673e-07	-8.647013351650931e-14	6.0843932504391185e-12	2.43808577398105e-13	-3.6170603001813073e-13	-2.0462241037760004e-10	-2.530217110542214e-13	5.734524653885963e-07	-6.449830914193532e-08	3.6870104251231695e-10	-4.949158475449247e-07	5.093228572891735e-07	1.4407009744248819e-08	1.1530398024390715e-05	1.1544805034134964e-05
4.818415902107132e-22	5.475885348845691e-08	-1.8431436046188427e-08	-4.874066542289214e-07	-6.43254934992806e-14	5.019595474084008e-12	2.0289932538000423e-13	-3.0140175739828003e-13	-6.426023601332322e-11	-9.72692291684048e-14	5.232776540542205e-07	-5.9397451144339576e-08	3.071331159793813e-09	-4.5113873752434704e-07	4.6695153406967475e-07	1.581279654532771e-08	1.0521515756745537e-05	1.0537328553290866e-05
4.858204637880105e-22	5.1103568164709904e-08	-1.7183150728336368e-08	-4.4484397828590717e-07	-4.809851325168639e-14	4.138172670986929e-12	1.7115713505508083e-13	-2.545150320930294e-13	6.180687348163585e-11	1.3859520598845284e-14	4.775131033963974e-07	-5.5432557292870415e-08	5.3253933976531565e-09	-4.1085773340027076e-07	4.274059395011801e-07	1.654820610090934e-08	9.601315301089838e-06	9.617863507190747e-06
4.897993373653079e-22	4.828671554961745e-08	-1.6223448608337934e-08	-4.061162841602916e-07	-3.626575201736384e-14	3.409488038083853e-12	1.462197859156704e-13	-2.1760087453315126e-13	1.369254792515238e-10	8.128107484507264e-14	4.358179662812387e-07	-5.23771135931542e-08	7.1651775494209805e-09	-3.7391270861748826e-07	3.906060302375054e-07	1.669332162001716e-08	8.762942270689382e-06	8.7796355923094e-06
4.937782109426053e-22	4.612941688806567e-08	-1.549048225573269e-08	-3.709079869774504e-07	-2.7676797850330535e-14	2.8077749111688974e-12	1.2632771564399928e-13	-1.8809691535918628e-13	1.6199438207069392e-10	1.284537995733633e-13	3.978683073113577e-07	-5.0037090263274703e-08	8.626001875554844e-09	-3.4010421118033354e-07	3.564572189236379e-07	1.6353007743304353e-08	7.999882502680329e-06	8.016235510423633e-06
